address,full_address,HDB_latitude,HDB_longitude,Nearest_MRT_ID,Nearest_MRT,MRT_latitude,MRT_longitude,Nearest_bus_stop_ID,Nearest_bus_stop,bus_stop_latitude,bus_stop_longitude,Distance_m_Nearest_MRT,Distance_m_Nearest_bus_stop
371 JURONG EAST ST 32,371 JURONG EAST STREET 32 JURONG EAST COURT SINGAPORE 600371,1.348308359,103.7319199,EW25,CHINESE GARDEN MRT STATION,1.342244948,103.7327666,28471,OPP BLK 311,1.34811145,103.7322464,677.0501705,42.35992937
209C PUNGGOL PL,209C PUNGGOL PLACE PUNGGOL CREST SINGAPORE 823209,1.39930949,103.9007923,SE1,COMPASSVALE LRT STATION,1.394458502,103.9004774,65201,OPP BLK 201A,1.40083471,103.902945,537.541227,292.9765496
208A PUNGGOL PL,208A PUNGGOL PLACE PUNGGOL SAILS SINGAPORE 821208,1.401463246,103.9007611,NE17,PUNGGOL MRT STATION,1.404287566,103.9019468,65341,OPP BLK 272C,1.40194694,103.900923,339.0310691,56.43905736
180A RIVERVALE CRES,180A RIVERVALE CRESCENT RIVERVALE ARC SINGAPORE 541180,1.390259097,103.9096249,SE2,RUMBIA LRT STATION,1.391433422,103.9060064,67661,OPP 178A,1.388894,103.908784,423.1097487,177.6000581
450B SENGKANG WEST WAY,450B SENGKANG WEST WAY FERNVALE CREST SINGAPORE 792450,1.394047702,103.8733457,SW5,FERNVALE LRT STATION,1.391911673,103.8763003,67579,BEF JLN KAYU,1.39483619,103.8734686,404.8469156,88.25378119
178D RIVERVALE CRES,178D RIVERVALE CRESCENT RIVERVALE ARC SINGAPORE 544178,1.389040794,103.9107188,PE3,CORAL EDGE LRT STATION,1.393922743,103.912611,67661,OPP 178A,1.388894,103.908784,579.4390285,215.9279277
448A SENGKANG WEST WAY,448A SENGKANG WEST WAY FERNVALE CREST SINGAPORE 791448,1.392936499,103.8729985,SW5,FERNVALE LRT STATION,1.391911673,103.8763003,68029,BLK 448A,1.39312162,103.8726496,384.5239282,43.89821864
430D FERNVALE LINK,430D FERNVALE LINK FERNVALE RIDGE SINGAPORE 794430,1.394826781,103.8780033,SW5,FERNVALE LRT STATION,1.391911673,103.8763003,67569,BLK 432A,1.39504999,103.877,373.9252171,114.3493596
499A TAMPINES AVE 9,499A TAMPINES AVENUE 9 TAMPINES RIA SINGAPORE 521499,1.358980743,103.9557702,DT33,TAMPINES EAST MRT STATION,1.356107967,103.954784,76341,BLK 464,1.35976305,103.9553501,336.0826771,98.33131452
887C WOODLANDS DR 50,887C WOODLANDS DRIVE 50 TREEGROVE@WOODLANDS SINGAPORE 733887,1.437133553,103.7946714,TE2,WOODLANDS MRT STATION,1.436032112,103.7880109,46671,BEF 888 PLAZA,1.43689166,103.7946223,751.1514142,27.29883239
